script_path	referenced_path	reference_type	exists_now	current_location	severity
scripts/a-extraction/showtrials-audit.py	showtrials_corpus_audit_documents.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_corpus_audit_documents.tsv	critical
scripts/a-extraction/showtrials-audit.py	showtrials_corpus_audit_report.txt	artifact_reference	no	reports/c-catalog-taxonomy/showtrials_corpus_audit_report.txt	critical
scripts/a-extraction/showtrials-audit.py	showtrials_corpus_audit_summary.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_corpus_audit_summary.tsv	critical
scripts/a-extraction/showtrials-audit.py	showtrials_master_catalog.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_master_catalog.tsv	critical
scripts/a-extraction/showtrials-audit.py	showtrials_text_cleanliness.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_text_cleanliness.tsv	critical
scripts/a-extraction/showtrials-stats.py	showtrials_master_catalog.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_master_catalog.tsv	critical
scripts/b-json-export-search/diagnose-showtrials-search-corpus.py	export-txt	directory_reference	no		high
scripts/b-json-export-search/diagnose-showtrials-search-corpus.py	showtrials_master_catalog.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_master_catalog.tsv	critical
scripts/b-json-export-search/diagnose-showtrials-search-corpus.py	showtrials_search_corpus_report.txt	artifact_reference	no	reports/b-json-export-search/showtrials_search_corpus_report.txt	critical
scripts/b-json-export-search/search-showtrials.py	showtrials_entities_categories.tsv	artifact_reference	no	data/e-semantic-layer/showtrials_entities_categories.tsv	critical
scripts/b-json-export-search/search-showtrials.py	showtrials_entities_collections.tsv	artifact_reference	no	data/e-semantic-layer/showtrials_entities_collections.tsv	critical
scripts/b-json-export-search/search-showtrials.py	showtrials_entities_processes.tsv	artifact_reference	no	data/e-semantic-layer/showtrials_entities_processes.tsv	critical
scripts/b-json-export-search/search-showtrials.py	showtrials_entities_tags.tsv	artifact_reference	no	data/e-semantic-layer/showtrials_entities_tags.tsv	critical
scripts/b-json-export-search/search-showtrials.py	showtrials_master_catalog.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_master_catalog.tsv	critical
scripts/b-json-export-search/showtrials-doc.py	showtrials_document_index.tsv	artifact_reference	no	data/c-catalog-taxonomy/showtrials_document_index.tsv	critical
